00-00	 "zzytmucotnzydduticyttepyy" 
00-01	vocoyitkucomamujjonzitjjyyyxmujjosusinipnzyddurytzhatsuli, zzytmuddajjux, nyongesiniptenjomujjosuddemopnge. 
00-02	cotzzyddujoxhxepapyysusiniphxepddixiplindutrresixnipssytlatmuluxddepox, muluxcyxggelivoconbophxiegozhotditsunge, comakaxjjomujjonzitddophxipkexchasinipnjypsuddajjuxjjo, ddixapbbopjjuraphlamujjosusinipgetvatmuxilasuzzytmumaxsuli, kepteddenephotpurepmipahmuxhxiengopddengeddixtigoditdaox. 
00-03	vocogojjoapdopdacoxssyrcohnoxsujjoxpurxipli, jievigodabonzitsunzyddunge. 
00-04	guopjietkaxjjosugatzyrgojjyxtemujjomupmitpiprresuzuprreddieddur. 
00-05	horexguopjietrepmipjjogexsujievibbuoxzurgocowoxnzydduconyilupujjuxsiniphnivojjoyyxmujjosunzydduxiphxiyipsiphxipticyt, ddixapbbopapnryrmuddajjuxcuopluoaxyymujjosujjutzzuropbboplisusinipjjojjuxddiexddursupiprrelishux. 
00-06	titqosuguopjietliapnryrmuhorexguopjietsinipjjygexcotnzyddusiniddajjuxgopuyyddixapbbopgoxchopssigoxzuprrejietdaox. 
00-07	nzyddusinipddajjuxcyxggecomugoxddejjisuli, mujjyxjietyucyxjigomugoxisuliapngeaphxitsunge, xiphnexmupmopaxyycyxma, zzytmucotnzydducyxjisipticyt, hotpurepmipkaxjjosusinipguopjietkaxjjomuwegadamugoxximoddixsugonraxjiejinge, coxmagoxjjosusinipjjutzzurjuhokaxjjosumuddeddemugoshutdassox, wegamuhxophmatsugomgadanzyddusinipddajjuxpuyysuzuprre, hxiyipguopjietsinipguopjietgatzyrgomgashyxpoda, nzyddusinipcyxggebbyxhorexguopjietggex suhotpurepmipzytjiejuddi, comugorytzhatgomgadamujiddepshux. 
01-00	cypjijixsu
01-01	comamuddajjuxjjo, nzydduiqixjjyyyxmujjosat. cowoxngopzhatsinipbbophxienyijjo, ddixapbbophmapzythnipmopmujjotatxi. 
02-00	nyipjijixsu
02-01	coxmakaxjjosumuticyttepyygonditsunzyddusinipddajjuxli, cocux, coxqucoxnuo, sihnissevo, ddopma, xixnjypsu, zhepzhypsinipaxpaxixhxepjjux, xixguopjiet, jjutzzurcoxjiex, bboplu, yurcoapngeoxgoaxpacoxixngeddemogojjonzitsunge. 
02-02	ddixapbbopcomaaxnopzzykessesuguopjietjuddizhepzhyp, juxjieapngeoxgoguopjietgatzyrjjojjyapyyyyddi, juddicyxggatlizytjiejuddi, angeoxgoddiesubbyxjuddi, zytjieapjusujuddisinipaxpakepmujuddingemojjyapsuaphxitsunge. 
03-00	suoxjijixsu
03-01	comakaxjjosuogo, ddajjuxsinipgopbolysizzyrmuosunzyddujjo. 
04-00	lyjijixsu
04-01	coxixmangemojjibbopaphxit, apngeoxgosipjjimunyopbbopshuxaphxit, jjibboxddip jiesinipjjisipvupvysuxipli, ngegetmujiloxdatatxi. 
05-00	ngejijixsu
05-01	coxixmangemobbyssyniapngeoxgoapbbopvutnuopxipxipmuaphxit, colyxapzieapngeoxgozhotcursinipyotvindiaphxit. 
06-00	futjijixsu
06-01	comokaxjjosuxixggatngemojievimieplielijjojjyyyxsunge. 
07-00	shypjijixsu
07-01	jievimiepliejjyyyxmujjo, ddixapbbopjjyyyxmujjosujievigobosimusuzzyddujjo, comugoxhxepddiahxit, ticyttepyygoapziesusinipgohxexddisumuluxcyxggegozutnjixipndeguoxsha. 
08-00	hxitjijixsu
08-01	coxixmangemojiemopsinipjievigocyjjonzitsunzyddugohittego, guopjielutjiexiguddopshepsytbatkopddebbyxmuluxhitjjupxipjoxddopshepdawepzieshuxsunzyddujjo. 
09-00	ggujijixsu
09-01	coxixmangeddamobipapjjomuyugoggotaphxit, mgotmunzinyishaaphxit. 
10-00	cijijixsu
10-01	comakaxjjosujjyyyxmujjo, dimuhxitddopshepsytbatkopbbyxzieliemusinipdatticytmusiplythna, sucyxjopddopshepsuyotvijjoddapapjjosuzhypkiesulicypnzyddusinipnzitsunzyjjuxjjosunge. 
11-00	cixzyjixsu
11-01	cosipddop shepsuxixmangeddemo, ndipbotsusinipdabokaxddieddur, datticytmusipjievimgadayoapjjooxddixzhypkiemiexlie, sipyotviapjjomuhxepsunzyjjuxjjo. 
11-02	coxixmongeddamocypmujjupyotnyikapmumugondoxdamo, guopjietviapngeoxgozzytmujievigohxepgoyotviapngene, sipyotapjjomuzhypkieaphxit. zhypkietenyijievixixjigomgenzitnexixjigomgadazhypkie. 
12-00	cinyixjixsu
12-01	coxixmangeddemo, cypjjojjux, yitku, itddesinipddopmgacypxipkaxqimugojilexaphxit, cyphmixddesiniphmixhoxipjopnyipyqietaphxit, comagojjonejievigobosimusunzyjjuxjjo, gojilexgopyqietaphxit. 
13-00	cixsuojisu
13-01	comakaxjjosuxixguopjietngeddemocygoitsuddajjuxjjo. 
13-02	comakaxjjosucydepaxpaguopjietitbbo, ddixapbbopburhxiyipcypguopjietgoitlasuddajjuxnyijjo. 
14-00	cixlyjisu
14-01	comakaxjjosusucypjophoshylasuddurlamixdaaxpaguopjietshepmotdalotbuopsuddajjuxjjo. 
14-02	cyxlivurjjimuzhepzhypmupmipyotviapngeoxgohorexguopjietjietdasujiexjiexipyyddixapngemusipddopshep, cyapngeneddajjuxxipddiegobbyxaphxit. 
15-00	cixngejisu
15-01	comakaxjjosuguopjietcojjipsuddajjuxjjo. 
15-02	coxixmangeddemocyguopjietcoapngeddixlupxieaphxit, hxiyipcyaxpaguopjietcojjiphxitsuddajjux nyilupxieaphxit. 
16-00	cifutjisu
16-01	cihxitkurwa, xixcocux, guopjietapngeoxgocoxixnjypsungemo, suxddujjipsusinipxypyuyitzzursunzyjjuxjjox. cowoxfurjjuxmupmipiqixgosinipfurkietegonzyjjuxlijjysuxmujjotatxi. 
16-02	ssevosihninyipmajjygexgohxievurmgayixnipxyphxit. 
16-03	yitkurlijjutzzurddemopngeyiet, xiphnexjjutzzursinipguopjietgobosimutatxi. 
17-00	cishyxjisu
17-01	comakaxjjosucypzzytbbomubboplujjoddixapbbopaxpacosinipjjygexbboplunyijjohxitsuzzyjjuxjjo. 
